Holzalmlift aufg.;588;6364;Brixen im Thale;;;;1974;ja;1994;Schlepplift;keine;;6,00;2;nein;kein;keine;838;;;215;1.200;258
Laubkogel I;595;6364;Brixen im Thale;;;;1973;nein;;Schlepplift;teilweise;;6,00;2;nein;kein;keine;232;1.721;1.765;44;700;31
Laubkogel II;596;6364;Brixen im Thale;;;;;nein;;Schlepplift;teilweise;;6,00;2;nein;kein;keine;91;1.750;1.765;15;700;10
Kandleralmlift aufg.;597;6364;Brixen im Thale;;;;1965;ja;2008;Schlepplift;keine;;6,00;2;nein;kein;keine;1.192;500;896;396;800;317
Badhauslift aufg.;598;6364;Brixen im Thale;;;;1960;ja;2005;Schlepplift;keine;;6,00;2;nein;kein;keine;290;515;565;50;500;25
Choralpe;594;6364;Brixen im Thale;;;;1978;ja;2009;1er Sessellift fix geklemmt;keine;;7,00;1;nein;kein;keine;729;1.629;1.817;188;900;169
Talkaser;593;6364;Brixen im Thale;;;;1989;nein;;4er Sessellift fix geklemmt;keine;;10,00;;nein;kein;Förderband;510;1.606;1.767;161;2.228;359
Imminglift aufg.;1314;6262;Bruck am Ziller;;;;;ja;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;160;;;25;380;10
Aschingeralmlift;800;6341;Ebbs;;;;1979;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;818;950;1.150;200;1.400;280
Kleinwolfing;803;6341;Ebbs;;;;;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;500;700;786;86;620;53
Riedlift;802;6341;Ebbs;;;;;nein;;Schlepplift mit niedriger Seilführung;teilweise;;2,00;1;nein;kein;keine;297;965;1.010;45;617;28
Babyl.Aschingeralm aufg.;801;6341;Ebbs;;;;;ja;1994;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;124;;;16;715;11
Übungslift;1918;6341;Ebbs;;;;;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;150;950;980;30;600;18
Riedalmlift;4871;6341;Ebbs;;;;;nein;;Schlepplift;;;;;nein;;;252;;;35;671;
Gratlift-Zwölferkopf aufg.;4873;6212;Eben am Achensee;;;;1977;ja;;Schlepplift mit niedriger Seilführung;;;;;nein;;;190;;;27;713;19
Mauritzlift;1728;6212;Eben am Achensee;;;;2002;nein;;2er Sessellift fix geklemmt;keine;;8,00;2;nein;kein;keine;983;1.420;1.825;405;1.000;405
Kurvenlift Zwölferkopf;1320;6212;Eben am Achensee;;;;1978;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;677;1.289;1.510;235;1.142;268
Jochlift;1322;6212;Eben am Achensee;;;;2003;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;80;1.510;1.590;80;202;16
Grubenlift;1323;6212;Eben am Achensee;;;;;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;128;1.470;1.510;40;500;20
Gratllift;1321;6212;Eben am Achensee;;;;;nein;;Schlepplift;keine;;6,00;2;nein;kein;keine;168;1.510;1.560;50;500;25
Buchauerwiese aufg.;1328;6212;Eben am Achensee;;;;;ja;;Schlepplift;keine;;6,00;2;nein;kein;keine;157;;;46;456;21
Mauritzlift aufg.;1317;6212;Eben am Achensee;;;;;ja;2002;1er Sessellift fix geklemmt;keine;;7,00;1;nein;kein;keine;917;1.423;1.827;404;900;364
Wasserbodenlift II;1318;6212;Eben am Achensee;;;;1982;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;141;1.827;1.846;18;711;13
Planberglift;1324;6212;Eben am Achensee;;;;1970;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;217;940;1.010;70;765;54
Wiesenlift I;1325;6212;Eben am Achensee;;;;1970;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;145;9.935;960;25;540;14
Wiesenlift II;1326;6212;Eben am Achensee;;;;;nein;;Schlepplift mit niedriger Seilführung;keine;;2,00;1;nein;kein;keine;140;940;950;10;600;8
